RANK,NAME,Team,POS,VALUE
1,Mike Trout,LAA,OF,51
2,Jose Altuve,HOU,2B,48
3,Trea Turner,WSH,SS,43
4,Bryce Harper,WSH,OF,41
5,Nolan Arenado,COL,3B,37
6,Paul Goldschmidt,ARI,1B,36
7,Mookie Betts,BOS,OF,35
8,Manny Machado,BAL,3B,34
9,Giancarlo Stanton,NYY,OF,33
10,Kris Bryant,CHC,3B/OF,32
11,Francisco Lindor,CLE,SS,32
12,Freddie Freeman,ATL,1B/3B,31
13,Jose Ramirez,CLE,2B/3B,31
14,Anthony Rizzo,CHC,1B/2B,31
15,J.D. Martinez,BOS,OF,30
16,George Springer,HOU,OF,30
17,Cody Bellinger,LAD,1B/OF,29
18,Charlie Blackmon,COL,OF,29
19,Joey Votto,CIN,1B,29
20,Max Scherzer,WSH,SP,27
21,Aaron Judge,NYY,OF,27
22,Clayton Kershaw,LAD,SP,26
23,Carlos Correa,HOU,SS,26
24,Dee Gordon,SEA,2B,26
25,Jose Abreu,CHW,1B,25
26,Corey Kluber,CLE,SP,25
27,Chris Sale,BOS,SP,25
28,Anthony Rendon,WSH,3B,24
29,Marcell Ozuna,STL,OF,24
30,Edwin Encarnacion,CLE,1B,24
31,Alex Bregman,HOU,SS/3B,24
32,Brian Dozier,MIN,2B,24
33,Starling Marte,PIT,OF,24
34,Eric Hosmer,SD,1B,23
36,Andrew Benintendi,BOS,OF,23
37,Justin Upton,LAA,OF,23
38,Stephen Strasburg,WSH,SP,22
39,Noah Syndergaard,NYM,SP,22
40,Jacob deGrom,NYM,SP,22
41,Carlos Carrasco,CLE,SP,21
42,Jonathan Schoop,BAL,2B,21
43,Rhys Hoskins,PHI,1B/OF,21
44,Gary Sanchez,NYY,C,21
45,Luis Severino,NYY,SP,20
46,Robbie Ray,ARI,SP,20
47,Carlos Martinez,STL,SP,20
48,Justin Verlander,HOU,SP,20
49,Yu Darvish,CHC,SP,19
50,Daniel Murphy,WSH,2B,19
51,Corey Seager,LAD,SS,19
52,Byron Buxton,MIN,OF,19
53,Miguel Sano,MIN,1B/3B,19
54,Josh Donaldson,TOR,3B,19
55,Chris Taylor,LAD,2B/SS/ OF,19
56,Jean Segura,SEA,SS,18
57,Wil Myers,SD,1B,18
58,Yasiel Puig,LAD,OF,18
59,Khris Davis,OAK,OF,18
60,Christian Yelich,MIL,OF,18
61,Lorenzo Cain,MIL,OF,18
62,Nelson Cruz,SEA,OF,18
63,Billy Hamilton,CIN,OF,18
64,A.J. Pollock,ARI,OF,17
65,Robinson Cano,SEA,2B,17
66,Kenley Jansen,LAD,RP,17
67,Rougned Odor,TEX,2B,17
68,Ronald Acuna,ATL,OF,17
69,Whit Merrifield,KC,2B/OF,16
70,Chris Archer,TB,SP,16
71,Zack Greinke,ARI,SP,16
72,Craig Kimbrel,BOS,RP,16
73,Aroldis Chapman,NYY,RP,16
74,Aaron Nola,PHI,SP,16
75,Jose Quintana,CHC,SP,15
76,Yoenis Cespedes,NYM,OF,15
77,Eddie Rosario,MIN,OF,15
78,Travis Shaw,MIL,3B,15
79,Mike Moustakas,KC,3B,15
80,Joey Gallo,TEX,1B/3B/ OF,15
81,Trey Mancini,BAL,1B/OF,15
82,Shohei Ohtani,LAA,SP,15
83,Rafael Devers,BOS,3B,15
84,Tommy Pham,STL,OF,15
85,Andrew McCutchen,SF,OF,15
86,Gregory Polanco,PIT,OF,15
87,Ryan Braun,MIL,OF,14
88,Xander Bogaerts,BOS,SS,14
89,Trevor Bauer,CLE,SP,14
90,Dallas Keuchel,HOU,SP,14
91,Shohei Ohtani,LAA,SP,14
92,Alex Wood,LAD,SP,14
93,Luis Castillo,CIN,SP,13
94,Masahiro Tanaka,NYY,SP,13
95,Sonny Gray,NYY,SP,13
96,Lance McCullers Jr.,HOU,SP,13
97,Justin Smoak,TOR,1B,13
98,Miguel Cabrera,DET,1B,13
99,Ryan Zimmerman,WSH,1B,12
100,Javier Baez,CHC,2B/SS,12
101,Tim Anderson,CHW,SS,12
102,Corey Knebel,MIL,RP,12
103,Roberto Osuna,TOR,RP,12
104,James Paxton,SEA,SP,12
105,Felipe Rivero,PIT,RP,12
106,Ken Giles,HOU,RP,12
107,Carlos Santana,PHI,1B/OF,12
108,Raisel Iglesias,CIN,RP,12
109,Trevor Story,COL,SS,12
110,Andrew Miller,CLE,RP,11
111,Willson Contreras,CHC,C,11
112,Luke Weaver,STL,SP,11
113,Rich Hill,LAD,SP,11
114,Edwin Diaz,SEA,RP,11
115,Jose Berrios,MIN,SP,11
116,Brad Hand,SD,RP,11
117,Michael Wacha,STL,SP,11
118,Alex Colome,TB,RP,11
119,Ian Happ,CHC,2B/OF,11
120,Yoan Moncada,CHW,2B,11
121,Paul DeJong,STL,2B/SS,10
122,Josh Bell,PIT,1B,10
123,Wade Davis,COL,RP,10
124,Archie Bradley,ARI,RP,10
125,J.T. Realmuto,MIA,C/1B,10
126,Salvador Perez,KC,C,10
127,Buster Posey,SF,C/1B,9
128,Matt Olson,OAK,1B/OF,9
129,Ian Desmond,COL,1B/OF,9
