RANK,NAME,TEAM,POS,AVG VALUE,AVG PICK
1,Mike Trout, LAA,CF,47.4,1.4
2,Jose Altuve, Hou,2B,42.8,3.7
3,Nolan Arenado, Col,3B,42.6,4.2
4,Mookie Betts, Bos,RF,42.7,4.2
5,Kris Bryant, ChC,3B,41.8,5.1
6,Clayton Kershaw, LAD,SP,40.7,5.2
7,Manny Machado, Bal,SS,37.8,7.9
8,Paul Goldschmidt, Ari,1B,37.9,8.2
9,Josh Donaldson, Tor,3B,34.9,9.9
10,Bryce Harper, Wsh,RF,34.2,10.5
11,Madison Bumgarner, SF,SP,31.6,12.1
12,Anthony Rizzo, ChC,1B,32.5,12.9
13,Miguel Cabrera, Det,1B,29.9,13.9
14,Max Scherzer, Wsh,SP,30.1,15.3
15,Charlie Blackmon, Col,CF,28.6,16.5
16,Carlos Correa, Hou,SS,26.7,17.3
17,Chris Sale, Bos,SP,27.6,17.6
18,Trea Turner, Wsh,2B,27.8,17.8
19,Corey Seager, LAD,SS,24.4,21.6
20,Noah Syndergaard, NYM,SP,25.2,22
21,Corey Kluber, Cle,SP,23.4,23.7
22,Edwin Encarnacion, Cle,1B,22.8,24.3
23,Joey Votto, Cin,1B,23,24.5
24,Francisco Lindor, Cle,SS,21.8,24.5
25,Freddie Freeman, Atl,1B,22.1,25.3
26,Jake Arrieta, ChC,SP,22.7,27.5
27,Daniel Murphy, Wsh,2B,21.1,28.2
28,Starling Marte, Pit,LF,22,29.2
29,Xander Bogaerts, Bos,SS,20.5,29.3
30,Robinson Cano, Sea,2B,19.7,30.2
31,Justin Verlander, Det,SP,18.6,32.8
32,Brian Dozier, Min,2B,18.9,33.4
33,Jon Lester, ChC,SP,19.5,34.7
34,Carlos Gonzalez, Col,RF,18.6,36
35,Yoenis Cespedes, NYM,LF,17.2,38
36,Jonathan Villar, Mil,SS,18.6,39.2
37,Trevor Story, Col,SS,17.8,39.6
38,Johnny Cueto, SF,SP,18.4,41
39,Giancarlo Stanton, Mia,RF,18.7,41.1
40,Ryan Braun, Mil,LF,17.5,42.5
41,J.D. Martinez, Det,RF,17.3,42.9
42,Nelson Cruz, Sea,RF,18.2,44.6
43,George Springer, Hou,RF,16.9,45.2
44,Kyle Seager, Sea,3B,16.1,46.1
45,Buster Posey, SF,C,16,47.6
46,Jose Abreu, CWS,1B,16.6,48.2
47,Christian Yelich, Mia,LF,16.1,49
48,Chris Archer, TB,SP,15.9,49.1
49,Andrew McCutchen, Pit,CF,16.3,52.4
50,Yu Darvish, Tex,SP,15.5,52.5
51,Rougned Odor, Tex,2B,15.1,54.3
52,Kenley Jansen, LAD,RP,16.1,54.9
53,Adrian Beltre, Tex,3B,14.4,55.3
54,Gregory Polanco, Pit,RF,14.3,56.5
55,Matt Carpenter, StL,2B,14.2,57.6
56,Aroldis Chapman, NYY,RP,15.7,58.7
57,Wil Myers, SD,1B,14.5,58.8
58,Ian Kinsler, Det,2B,14,60.1
59,Carlos Martinez, StL,SP,14.6,61.7
60,Carlos Carrasco, Cle,SP,14.9,61.8
61,Zach Britton, Bal,RP,14.6,64.1
62,A.J. Pollock, Ari,CF,14.6,64.8
63,Stephen Strasburg, Wsh,SP,15.3,65.3
64,Dee Gordon, Mia,2B,14.6,65.9
65,Billy Hamilton, Cin,CF,13.8,66
66,Jacob deGrom, NYM,SP,15,66.2
67,Jose Bautista, Tor,RF,13.7,68.9
68,Masahiro Tanaka, NYY,SP,12.9,70.8
69,Todd Frazier, CWS,3B,13.3,71.3
70,Kyle Hendricks, ChC,SP,13.6,71.8
71,Kyle Schwarber, ChC,LF,13.2,72.7
72,Justin Upton, Det,LF,12.6,74.4
