RANK,NAME,TEAM,VALUE,POS
1,Mike Trout,LAA,47.00,OF
2,Jose Altuve,HOU,42.00,2B
3,Mookie Betts,BOS,42.00,OF
4,Nolan Arenado,COL,40.00,3B
5,Kris Bryant,CHC,38.00,3B OF
6,Paul Goldschmidt,ARI,37.00,1B
7,Manny Machado,BAL,36.00,3B SS
8,Josh Donaldson,TOR,35.00,3B
9,Clayton Kershaw,LAD,34.00,SP
10,Bryce Harper,WAS,33.00,OF
11,Miguel Cabrera,DET,33.00,1B
12,Anthony Rizzo,CHC,32.00,1B
13,Charlie Blackmon,COL,31.00,OF
14,Madison Bumgarner,SF,30.00,SP
15, Trea Turner,WAS,30.00,2B OF
16, Carlos Correa,HOU,28.00,SS
17, Max Scherzer,WAS,28.00,SP
18, Corey Seager,LAD,27.00,SS
19, Chris Sale,BOS,27.00,SP
20, Freddie Freeman,ATL,27.00,1B
21, Joey Votto,CIN,26.00,1B
22, Francisco Lindor,CLE,26.00,SS
23, Corey Kluber,CLE,26.00,SP
24, Starling Marte,PIT,26.00,OF
25, Noah Syndergaard,NYM,26.00,SP
26, Xander Bogaerts,BOS,26.00,SS
27, Edwin Encarnacion,CLE,26.00,1B
28, Daniel Murphy,WAS,26.00,2B
29, Brian Dozier,MIN,25.00,2B
30, Carlos Gonzalez,COL,25.00,OF
31, Jake Arrieta,CHC,25.00,SP
32, Robinson Cano,SEA,24.00,2B
33, Justin Verlander,DET,24.00	,SP
34, Ryan Braun,MIL,24.00	,OF
35, Jonathan Villar,MIL,24.00	,SS 3B
36, Yoenis Cespedes,NYM,24.00	,OF
37, Jon Lester,CHC,24.00	,SP
38, Trevor Story,COL,24.00	,SS
39, George Springer,HOU,23.00	,OF
40, Christian Yelich,MIA,23.00	,OF
41, Kyle Seager,SEA,23.00	,3B
42, Johnny Cueto,SF,23.00	,SP
43, Jose Abreu,CWS,22.00	,1B
44, Giancarlo Stanton,MIA,22.00	,OF
45, Gregory Polanco,PIT,22.00	,OF
46, Wil Myers,SD,22.00	,1B
47, Nelson Cruz,SEA,22.00	,OF
48, Chris Archer,TB,22.00	,SP
49, Rougned Odor,TEX,22.00	,2B
50, Yu Darvish,TEX,21.00	,SP
51, Andrew McCutchen,PIT,21.00	,OF
52, Adrian Beltre,TEX,21.00	,3B
53, Billy Hamilton,CIN,21.00	,OF
54, A.J. Pollock,ARI,21.00	,OF
55, Carlos Martinez,STL,21.00	,SP
56, Matt Carpenter,STL,21.00	,1B 2B 3B 
57, Carlos Carrasco,CLE,20.00	,SP
58, Justin Upton,DET,20.00	,OF
59, Buster Posey,SF,20.00	,C
60, Dee Gordon,MIA,20.00	,2B
61, Kenley Jansen,LAD,19.00	,RP
62, J.D. Martinez,DET,19.00	,OF
63, Ian Kinsler,DET,19.00	,2B
64, Zach Britton,BAL,19.00	,RP
65, Stephen Strasburg,WAS,19.00	,SP
66, Jose Bautista,TOR,19.00	,OF
67, Jacob deGrom,NYM,19.00	,SP
68, Aroldis Chapman,NYY,18.00	,RP
69, Adam Jones,BAL,18.00	,OF
70, Carlos Santana,CLE,18.00	,1B
71, DJ LeMahieu,COL,18.00	,2B
72, Kyle Hendricks,CHC,17.00	,SP
73, Todd Frazier,CWS,17.00	,3B
74, Chris Davis,BAL,17.00	,1B
75, Mark Trumbo,BAL,17.00	,OF
76, Mark Melancon,SF,17.00	,RP
77, Hanley Ramirez,BOS,16.00	,1B
78, Jean Segura,SEA,16.00	,SS 2B
79, Seung Hwan Oh,STL,16.00	,RP
80, Kyle Schwarber,CHC,16.00	,OF
81, Masahiro Tanaka,NYY,16.00	,SP
82, Alex Bregman,HOU,16.00	,3B
83, Roberto Osuna,TOR,15.00	,RP
84, Jose Quintana,CWS,15.00	,SP
85, Stephen Piscotty,STL,15.00	,OF
86, Eric Hosmer,KC,15.00	,1B
87, Gerrit Cole,PIT,14.00	,SP
88, Dustin Pedroia,BOS,14.00	,2B
89, Rick Porcello,BOS,14.00	,SP
90, Wade Davis,CHC,14.00	,RP
91, Evan Longoria,TB,14.00	,3B
92, Khris Davis,OAK,14.00	,OF
93, Matt Kemp,ATL,14.00	,OF
94, Edwin Diaz,SEA,13.00	,RP
95, Danny Duffy,KC,13.00	,SP
96, Jackie Bradley Jr.,BOS,13.00	,OF
97, Gary Sanchez,NYY,13.00	,C
98, Anthony Rendon,WAS,13.00	,3B
99, Kevin Gausman,BAL,13.00	,SP
100, Julio Teheran,ATL,13.00	,SP
101, Jose Ramirez,CLE,12.00	,3B OF
102, Kelvin Herrera,KC,12.00	,RP
103, Marcus Stroman,TOR,12.00	,SP
104, Adam Eaton,WAS,12.00	,OF
105, Kenta Maeda,LAD,12.00	,SP
106, Jason Kipnis,CLE,12.00	,2B
107, Danny Salazar,CLE,12.00	,SP
108, Ken Giles,HOU,12.00	,RP
109, Marcell Ozuna,MIA,12.00	,OF
110, Cole Hamels,TEX,11.00	,SP
111, Lorenzo Cain,KC,11.00	,OF
112, Aaron Sanchez,TOR,11.00	,SP
113, Miguel Sano,MIN,11.00	,OF 3B
114, Craig Kimbrel,BOS,11.00	,RP
115, Andrew Benintendi,BOS,11.00	,OF
116, Andrew Miller,CLE,10.00	,RP
117, Brandon Belt,SF,10.00	,1B
118, Justin Turner,LAD,10.00	,3B
119, Albert Pujols,LAA,10.00	,1B
120, Rich Hill,LAD,9.00	,SP
121, Jonathan Lucroy,TEX,10.00	,C
122, Addison Russell,CHC,9.00	,SS
123, Zack Greinke,ARI,11.00	,SP
124, Michael Brantley,CLE,9.00	,OF
