"RANK, PLAYER",TEAM,AGE,ELIG.,POS,$10T,$12T,NAME,RANK,VALUE,POS
1. Mike Trout,LAA,25,OF,OF1,$42 ,$47 , Mike Trout,1,47.00,OF1
2. Jose Altuve,HOU,26,2B,2B1,$41 ,$42 , Jose Altuve,2,42.00,2B1
3. Mookie Betts,BOS,24,OF,OF2,$40 ,$42 , Mookie Betts,3,42.00,OF2
4. Nolan Arenado,COL,25,3B,3B1,$38 ,$40 , Nolan Arenado,4,40.00,3B1
5. Kris Bryant,CHC,25,3B/OF,3B2,$37 ,$38 , Kris Bryant,5,38.00,3B2
6. Paul Goldschmidt,ARI,29,1B,1B1,$36 ,$37 , Paul Goldschmidt,6,37.00,1B1
7. Manny Machado,BAL,24,3B/SS,3B3,$35 ,$36 , Manny Machado,7,36.00,3B3
8. Josh Donaldson,TOR,31,3B,3B4,$34 ,$35 , Josh Donaldson,8,35.00,3B4
9. Clayton Kershaw,LAD,29,SP,SP1,$33 ,$34 , Clayton Kershaw,9,34.00,SP1
10. Bryce Harper,WAS,24,OF,OF4,$32 ,$33 , Bryce Harper,10,33.00,OF4
11. Miguel Cabrera,DET,33,1B,1B2,$31 ,$33 , Miguel Cabrera,11,33.00,1B2
12. Anthony Rizzo,CHC,27,1B,1B3,$30 ,$32 , Anthony Rizzo,12,32.00,1B3
13. Charlie Blackmon,COL,30,OF,OF5,$29 ,$31 , Charlie Blackmon,13,31.00,OF5
14. Madison Bumgarner,SF,27,SP,SP2,$28 ,$30 , Madison Bumgarner,14,30.00,SP2
15. Trea Turner,WAS,23,OF/2B,OF6,$28 ,$30 , Trea Turner,15,30.00,OF6
16. Carlos Correa,HOU,22,SS,SS2,$27 ,$28 , Carlos Correa,16,28.00,SS2
17. Max Scherzer,WAS,32,SP,SP3,$27 ,$28 , Max Scherzer,17,28.00,SP3
18. Corey Seager,LAD,22,SS,SS3,$26 ,$27 , Corey Seager,18,27.00,SS3
19. Chris Sale,BOS,28,SP,SP4,$26 ,$27 , Chris Sale,19,27.00,SP4
20. Freddie Freeman,ATL,27,1B,1B4,$26 ,$27 , Freddie Freeman,20,27.00,1B4
21. Joey Votto,CIN,33,1B,1B5,$25 ,$26 , Joey Votto,21,26.00,1B5
22. Francisco Lindor,CLE,23,SS,SS4,$25 ,$26 , Francisco Lindor,22,26.00,SS4
23. Corey Kluber,CLE,30,SP,SP5,$25 ,$26 , Corey Kluber,23,26.00,SP5
24. Starling Marte,PIT,28,OF,OF7,$25 ,$26 , Starling Marte,24,26.00,OF7
25. Noah Syndergaard,NYM,24,SP,SP6,$24 ,$26 , Noah Syndergaard,25,26.00,SP6
26. Xander Bogaerts,BOS,24,SS,SS5,$24 ,$26 , Xander Bogaerts,26,26.00,SS5
27. Edwin Encarnacion,CLE,34,1B,1B6,$24 ,$26 , Edwin Encarnacion,27,26.00,1B6
28. Daniel Murphy,WAS,32,2B/1B,2B3,$24 ,$26 , Daniel Murphy,28,26.00,2B3
